,0
is_repeated,0.3903766
auction_count,0.25721624
auction_count_log,0.17484422
price_ratio,0.15421143
start_price_log,0.010420346
is_vehicle,0.004911043
price_diff_log,0.0024589503
district_id,0.002074427
appraised_price_log,0.0018024868
seller_lot_count,0.0016842674
price_above_130pct,0.0
is_very_repeated,0.0
is_mega_repeated,0.0
is_ultra_repeated,0.0
no_discount,0.0
price_below_70pct,0.0
price_below_10pct,0.0
is_k_savdo,0.0
is_bankruptcy,0.0
category_risk,0.0
is_rental,0.0
is_real_estate,0.0
is_land,0.0
is_state_asset,0.0
bankruptcy_no_discount,0.0
seller_is_heavy,0.0
building_area_log,0.0
has_building_area,0.0
land_area_log,0.0
has_land_area,0.0
auction_month,0.0
auction_weekday,0.0
is_weekend,0.0
